#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne-ne-h-xe_3mm
#  Total number of transitions   =     6012
#  Number of written transitions =     2752
#  Plasma temperature (eV)       =     3.0000E+02
#  Mass density (g/cm3)          =     2.9172E-04
#  Cell areal density (g/cm2)    =     8.7516E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.4800E-01    8.5000E-01    2.0000E-03
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      2      1      1      1       1     1.0199E+01  8.767E+02  1.580E-05  7.256E-02
       4      1      4      1      1      1       1     1.0199E+01  1.753E+03  3.159E-05  7.256E-02
       7      1      6      1      1      1       1     1.2088E+01  3.065E+01  4.760E-06  1.480E-01
       9      1      6      1      3      1       1     1.8887E+00  6.430E-01  1.412E-06  2.446E-01
      12      1      5      1      2      1       1     1.8887E+00  2.012E-02  3.239E-08  3.378E-01
      14      1      5      1      4      1       1     1.8886E+00  4.023E-02  6.477E-08  3.378E-01
      16      1      7      1      2      1       1     1.8887E+00  1.029E+00  2.509E-06  2.213E-01
      18      1      7      1      4      1       1     1.8887E+00  2.057E+00  5.015E-06  2.213E-01
      19      1      9      1      1      1       1     1.2749E+01  2.904E-01  9.795E-07  2.428E-01
      21      1      9      1      3      1       1     2.5497E+00  8.244E-03  2.875E-08  2.018E+00
      24      1      9      1      5      1       1     6.6104E-01  6.778E-04  1.000E-30  1.152E+00
      25      1      9      1      7      1       1     6.6103E-01  7.683E-05  1.000E-30  1.035E+00
      27      1      8      1      2      1       1     2.5497E+00  2.446E-04  1.785E-09  9.757E-01
      29      1      8      1      4      1       1     2.5497E+00  4.892E-04  3.570E-09  9.757E-01
      30      1      8      1      6      1       1     6.6103E-01  1.354E-04  1.000E-30  1.185E+00
      34      1     10      1      2      1       1     2.5497E+00  9.784E-03  9.208E-08  7.573E-01
      36      1     10      1      4      1       1     2.5497E+00  1.960E-02  1.844E-07  7.573E-01
      37      1     10      1      6      1       1     6.6104E-01  2.595E-03  1.000E-30  9.671E-01
      45      1     11      1      7      1       1     6.6103E-01  7.121E-03  1.000E-30  7.034E-01
      46      1     13      1      1      1       1     1.3054E+01  6.835E-03  2.904E-07  3.923E-01
      48      1     13      1      3      1       1     2.8557E+00  2.156E-04  1.316E-08  2.217E+00
      50      1     13      1      5      1       1     9.6701E-01  2.416E-05  1.000E-30  2.451E+00
      51      1     13      1      7      1       1     9.6699E-01  2.202E-06  1.000E-30  2.335E+00
      53      1     13      1      8      1       1     3.0597E-01  3.434E-06  1.798E-11  3.087E+00
      54      1     13      1     10      1       1     3.0596E-01  8.780E-07  4.948E-12  2.869E+00
      57      1     12      1      2      1       1     2.8557E+00  6.211E-06  3.626E-10  2.319E+00
      59      1     12      1      4      1       1     2.8556E+00  1.242E-05  7.251E-10  2.319E+00
      60      1     12      1      6      1       1     9.6700E-01  4.442E-06  1.000E-30  2.529E+00
      63      1     12      1      9      1       1     3.0596E-01  1.002E-06  5.173E-12  3.131E+00
      67      1     14      1      2      1       1     2.8557E+00  2.279E-04  1.567E-08  1.970E+00
      69      1     14      1      4      1       1     2.8557E+00  4.552E-04  3.129E-08  1.970E+00
      70      1     14      1      6      1       1     9.6700E-01  8.307E-05  1.000E-30  2.180E+00
