#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne-ne-h-xe_60-200ev_1e18-1e20_4mm
#  Total number of transitions   =     6012
#  Number of written transitions =     2743
#  Plasma temperature (eV)       =     8.0000E+01
#  Mass density (g/cm3)          =     1.4586E-04
#  Cell areal density (g/cm2)    =     5.8344E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     8.5000E-01    2.0000E-03    1.4800E-01
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  2.423E+05  1.129E-01  3.498E-03
       2      1      4      1      2      1       8     1.6093E+01  4.310E+05  2.557E-01  3.529E-03
       5      1      5      1      3      1       8     1.2048E+02  4.339E+06  4.180E-02  2.216E-02
       6      1      5      1      4      1       8     1.2027E+02  8.266E+06  8.216E-02  2.213E-02
       7      1      6      1      2      1       8     1.4074E+02  6.984E+07  1.516E-01  9.231E-02
      10      1      6      1      5      1       8     4.3741E+00  2.109E+03  6.135E-04  7.434E-02
      12      1      7      1      3      1       8     1.2638E+02  5.513E+07  1.139E+00  2.217E-02
      13      1      7      1      4      1       8     1.2617E+02  9.739E+07  1.389E+00  3.531E-02
      15      1      7      1      6      1       8     1.5251E+00  3.699E+01  1.106E-04  5.490E-02
      17      1      8      1      3      1       8     1.6632E+02  1.107E+06  5.298E-03  3.643E-02
      18      1      8      1      4      1       8     1.6612E+02  2.186E+06  1.032E-02  3.640E-02
      20      1      8      1      6      1       8     4.1472E+01  5.714E+05  2.915E-03  8.699E-02
      22      1      9      1      2      1       8     1.8400E+02  2.157E+07  7.230E-02  5.278E-02
      25      1      9      1      5      1       8     4.7632E+01  1.615E+06  1.536E-02  3.458E-02
      27      1      9      1      7      1       8     4.1733E+01  2.421E+05  3.261E-03  3.084E-02
      28      1      9      1      8      1       8     1.7861E+00  9.526E+01  2.923E-04  3.479E-02
      30      1     10      1      3      1       8     1.6874E+02  2.315E+07  1.352E-01  3.511E-02
      31      1     10      1      4      1       8     1.6854E+02  4.102E+07  2.443E-01  3.777E-02
      33      1     10      1      6      1       8     4.3893E+01  6.515E+06  3.342E-02  8.185E-02
      36      1     10      1      9      1       8     6.3499E-01  2.508E+00  1.010E-04  2.938E-02
      41      1     11      1      7      1       8     4.2397E+01  1.801E+07  3.050E-01  3.471E-02
      43      1     11      1     10      1       8     2.8907E-02  1.976E-05  1.000E-30  2.672E-02
      45      1     12      1      3      1       8     1.8712E+02  4.640E+05  1.318E-03  5.518E-02
      46      1     12      1      4      1       8     1.8692E+02  9.192E+05  2.559E-03  5.514E-02
      48      1     12      1      6      1       8     6.2272E+01  2.993E+05  6.081E-04  1.057E-01
      51      1     12      1      9      1       8     1.9015E+01  6.509E+04  1.390E-03  5.300E-02
      53      1     13      1      2      1       8     2.0394E+02  1.004E+07  2.649E-02  5.778E-02
      56      1     13      1      5      1       8     6.7569E+01  9.845E+05  3.801E-03  3.955E-02
      58      1     13      1      7      1       8     6.1670E+01  1.151E+05  4.001E-04  5.926E-02
      59      1     13      1      8      1       8     2.1723E+01  1.246E+05  2.232E-03  3.979E-02
      61      1     13      1     10      1       8     1.9302E+01  4.455E+04  1.026E-03  4.212E-02
      63      1     13      1     12      1       8     9.2247E-01  1.271E+01  6.815E-05  5.216E-02
      65      1     14      1      3      1       8     1.8836E+02  1.034E+07  3.174E-02  5.293E-02
      66      1     14      1      4      1       8     1.8816E+02  2.003E+07  6.184E-02  5.290E-02
      68      1     14      1      6      1       8     6.3509E+01  3.673E+06  7.469E-03  1.035E-01
