#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne-ne-h-xe_3mm
#  Total number of transitions   =     6012
#  Number of written transitions =     2747
#  Plasma temperature (eV)       =     3.0000E+02
#  Mass density (g/cm3)          =     1.4586E-03
#  Cell areal density (g/cm2)    =     4.3758E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.4800E-01    8.5000E-01    2.0000E-03
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      2      1      1      1       1     1.0199E+01  3.582E+03  1.083E-04  2.108E-01
       4      1      4      1      1      1       1     1.0199E+01  7.164E+03  2.166E-04  2.108E-01
       7      1      6      1      1      1       1     1.2088E+01  3.392E+01  2.924E-05  4.572E-01
       9      1      6      1      3      1       1     1.8887E+00  7.115E-01  6.614E-07  7.101E-01
      12      1      5      1      2      1       1     1.8887E+00  2.226E-02  8.781E-09  1.678E+00
      14      1      5      1      4      1       1     1.8886E+00  4.452E-02  1.756E-08  1.678E+00
      16      1      7      1      2      1       1     1.8887E+00  1.139E+00  6.887E-07  1.096E+00
      18      1      7      1      4      1       1     1.8887E+00  2.276E+00  1.377E-06  1.096E+00
      19      1      9      1      1      1       1     1.2749E+01  2.962E-01  6.618E-06  7.719E-01
      21      1      9      1      3      1       1     2.5497E+00  8.410E-03  3.770E-08  5.891E+00
      24      1      9      1      5      1       1     6.6104E-01  6.914E-04  9.207E-10  5.751E+00
      25      1      9      1      7      1       1     6.6103E-01  7.837E-05  1.160E-10  5.169E+00
      27      1      8      1      2      1       1     2.5497E+00  2.495E-04  1.363E-09  4.862E+00
      29      1      8      1      4      1       1     2.5497E+00  4.990E-04  2.725E-09  4.862E+00
      30      1      8      1      6      1       1     6.6103E-01  1.381E-04  1.785E-10  5.920E+00
      34      1     10      1      2      1       1     2.5497E+00  9.982E-03  7.030E-08  3.771E+00
      36      1     10      1      4      1       1     2.5497E+00  2.000E-02  1.408E-07  3.771E+00
      37      1     10      1      6      1       1     6.6104E-01  2.647E-03  4.194E-09  4.829E+00
      45      1     11      1      7      1       1     6.6103E-01  7.266E-03  1.583E-08  3.511E+00
      46      1     13      1      1      1       1     1.3054E+01  6.927E-03  1.947E-06  1.271E+00
      48      1     13      1      3      1       1     2.8557E+00  2.185E-04  9.379E-09  1.106E+01
      50      1     13      1      5      1       1     9.6701E-01  2.448E-05  1.378E-10  1.224E+01
      51      1     13      1      7      1       1     9.6699E-01  2.231E-06  1.318E-11  1.166E+01
      53      1     13      1      8      1       1     3.0597E-01  3.481E-06  2.155E-12  1.543E+01
      54      1     13      1     10      1       1     3.0596E-01  8.898E-07  5.929E-13  1.434E+01
      57      1     12      1      2      1       1     2.8557E+00  6.293E-06  2.583E-10  1.157E+01
      59      1     12      1      4      1       1     2.8556E+00  1.259E-05  5.166E-10  1.157E+01
      60      1     12      1      6      1       1     9.6700E-01  4.501E-06  2.454E-11  1.263E+01
      63      1     12      1      9      1       1     3.0596E-01  1.015E-06  6.198E-13  1.565E+01
      67      1     14      1      2      1       1     2.8557E+00  2.310E-04  1.116E-08  9.828E+00
      69      1     14      1      4      1       1     2.8557E+00  4.614E-04  2.230E-08  9.828E+00
      70      1     14      1      6      1       1     9.6700E-01  8.421E-05  5.325E-10  1.089E+01
      73      1     14      1      9      1       1     3.0597E-01  1.171E-05  8.045E-12  1.390E+01
      76      1     14      1     11      1       1     3.0596E-01  3.977E-07  3.102E-13  1.224E+01
