#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_20-160ev_1e18-1e22_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =      947
#  Plasma temperature (eV)       =     4.0000E+01
#  Mass density (g/cm3)          =     3.3515E-04
#  Cell areal density (g/cm2)    =     1.3406E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  6.914E+06  4.204E+01  5.058E-03
       2      1      4      1      2      1       8     1.6093E+01  1.024E+07  8.622E+01  5.080E-03
       5      1      5      1      3      1       8     1.2048E+02  1.347E+08  8.947E+00  2.461E-02
       6      1      5      1      4      1       8     1.2027E+02  1.952E+08  1.795E+01  2.459E-02
       7      1      6      1      2      1       8     1.4074E+02  4.449E+08  4.487E+01  9.367E-02
      10      1      6      1      5      1       8     4.3741E+00  2.263E+05  1.253E-01  8.740E-02
      12      1      7      1      3      1       8     1.2638E+02  6.959E+08  2.734E+02  2.214E-02
      13      1      7      1      4      1       8     1.2617E+02  6.864E+08  3.455E+02  3.529E-02
      15      1      7      1      6      1       8     1.5251E+00  4.430E+03  2.234E-02  6.587E-02
      17      1      8      1      3      1       8     1.6632E+02  5.775E+07  8.257E-01  5.233E-02
      18      1      8      1      4      1       8     1.6612E+02  8.903E+07  1.639E+00  5.231E-02
      20      1      8      1      6      1       8     4.1472E+01  3.383E+07  3.629E-01  1.139E-01
      22      1      9      1      2      1       8     1.8400E+02  3.375E+08  1.636E+01  6.766E-02
      25      1      9      1      5      1       8     4.7632E+01  6.813E+07  1.418E+00  6.116E-02
      27      1      9      1      7      1       8     4.1733E+01  1.648E+07  2.768E-01  5.546E-02
      28      1      9      1      8      1       8     1.7861E+00  7.938E+03  2.005E-02  7.892E-02
      30      1     10      1      3      1       8     1.6874E+02  3.306E+08  2.301E+01  4.716E-02
      31      1     10      1      4      1       8     1.6854E+02  4.820E+08  4.357E+01  4.982E-02
      33      1     10      1      6      1       8     4.3893E+01  1.412E+08  4.240E+00  1.049E-01
      36      1     10      1      9      1       8     6.3499E-01  2.113E+02  4.571E-03  6.982E-02
      41      1     11      1      7      1       8     4.2397E+01  2.571E+08  3.251E+01  5.117E-02
      43      1     11      1     10      1       8     2.8907E-02  1.672E-03  9.908E-06  5.906E-02
