#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_20-160ev_1e18-1e22_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2019
#  Plasma temperature (eV)       =     1.6000E+02
#  Mass density (g/cm3)          =     3.3515E-05
#  Cell areal density (g/cm2)    =     1.3406E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  1.315E+05  3.426E-02  3.652E-03
       2      1      4      1      2      1       8     1.6093E+01  2.561E+05  8.041E-02  3.696E-03
       5      1      5      1      3      1       8     1.2048E+02  6.955E+05  1.834E-02  2.685E-02
       6      1      5      1      4      1       8     1.2027E+02  1.361E+06  3.626E-02  2.680E-02
       7      1      6      1      2      1       8     1.4074E+02  1.174E+07  6.863E-02  9.836E-02
      10      1      6      1      5      1       8     4.3741E+00  3.220E+02  1.320E-04  6.964E-02
      12      1      7      1      3      1       8     1.2638E+02  1.216E+07  4.730E-01  2.807E-02
      13      1      7      1      4      1       8     1.2617E+02  2.171E+07  6.287E-01  4.120E-02
      15      1      7      1      6      1       8     1.5251E+00  5.437E+00  5.236E-05  5.085E-02
      17      1      8      1      3      1       8     1.6632E+02  1.000E+05  2.688E-03  3.820E-02
      18      1      8      1      4      1       8     1.6612E+02  1.979E+05  5.260E-03  3.816E-02
      20      1      8      1      6      1       8     4.1472E+01  5.147E+04  6.921E-04  7.881E-02
      22      1      9      1      2      1       8     1.8400E+02  2.031E+06  3.321E-02  5.576E-02
      25      1      9      1      5      1       8     4.7632E+01  1.460E+05  4.457E-03  2.682E-02
      27      1      9      1      7      1       8     4.1733E+01  2.171E+04  9.300E-04  2.354E-02
      28      1      9      1      8      1       8     1.7861E+00  8.523E+00  7.242E-05  1.830E-02
      30      1     10      1      3      1       8     1.6874E+02  2.230E+06  6.523E-02  3.844E-02
      31      1     10      1      4      1       8     1.6854E+02  4.139E+06  1.187E-01  4.108E-02
      33      1     10      1      6      1       8     4.3893E+01  5.987E+05  7.694E-03  7.524E-02
      36      1     10      1      9      1       8     6.3499E-01  2.223E-01  4.130E-05  1.422E-02
      41      1     11      1      7      1       8     4.2397E+01  1.995E+06  7.270E-02  3.050E-02
      43      1     11      1     10      1       8     2.8907E-02  1.724E-06  2.375E-06  1.457E-02
      45      1     12      1      3      1       8     1.8712E+02  3.455E+04  8.952E-04  4.580E-02
      46      1     12      1      4      1       8     1.8692E+02  6.847E+04  1.746E-03  4.575E-02
      48      1     12      1      6      1       8     6.2272E+01  2.229E+04  1.530E-04  8.639E-02
      51      1     12      1      9      1       8     1.9015E+01  4.849E+03  5.170E-04  2.512E-02
      53      1     13      1      2      1       8     2.0394E+02  7.498E+05  1.611E-02  4.945E-02
      56      1     13      1      5      1       8     6.7569E+01  7.349E+04  1.934E-03  2.048E-02
      58      1     13      1      7      1       8     6.1670E+01  8.575E+03  1.238E-04  4.064E-02
      59      1     13      1      8      1       8     2.1723E+01  9.288E+03  1.555E-03  1.198E-02
      61      1     13      1     10      1       8     1.9302E+01  3.321E+03  5.379E-04  1.557E-02
      63      1     13      1     12      1       8     9.2247E-01  9.470E-01  3.217E-05  1.057E-02
      65      1     14      1      3      1       8     1.8836E+02  7.684E+05  2.054E-02  4.560E-02
      66      1     14      1      4      1       8     1.8816E+02  1.489E+06  4.022E-02  4.556E-02
      68      1     14      1      6      1       8     6.3509E+01  2.752E+05  1.828E-03  8.621E-02
      71      1     14      1      9      1       8     2.0251E+01  3.557E+04  3.334E-03  2.492E-02
      73      1     14      1     11      1       8     1.9587E+01  1.265E+03  1.701E-04  1.743E-02
      75      1     14      1     13      1       8     3.1361E-01  2.282E-02  1.429E-05  9.976E-03
      80      1     15      1      7      1       8     6.1991E+01  4.876E+05  7.181E-03  3.948E-02
      82      1     15      1     10      1       8     1.9623E+01  8.551E+04  1.478E-02  1.440E-02
      85      1     15      1     14      1       8     7.4800E-03  3.247E-08  1.000E-30  8.670E-03
      91      1     16      1     11      1       8     1.9655E+01  2.740E+05  4.279E-02  1.554E-02
      93      1     16      1     15      1       8     6.0560E-02  6.972E-06  1.000E-30  6.958E-03
      95      1     17      1      3      1       8     1.9833E+02  1.675E+04  3.807E-04  5.391E-02
      96      1     17      1      4      1       8     1.9813E+02  3.333E+04  7.455E-04  5.386E-02
      97      1     17      1      6      1       8     7.3479E+01  1.207E+04  5.757E-05  9.450E-02
      99      1     17      1      9      1       8     3.0222E+01  3.420E+03  1.069E-04  3.323E-02
     102      1     17      1     13      1       8     1.0284E+01  8.865E+02  2.352E-04  1.828E-02
     104      1     18      1      2      1       8     2.1470E+02  3.908E+05  7.470E-03  5.753E-02
     107      1     18      1      5      1       8     7.8336E+01  4.301E+04  6.469E-04  2.856E-02
     108      1     18      1      7      1       8     7.2437E+01  4.438E+03  4.138E-05  4.873E-02
     109      1     18      1      8      1       8     3.2490E+01  7.612E+03  3.354E-04  2.006E-02
     111      1     18      1     10      1       8     3.0069E+01  2.150E+03  9.253E-05  2.365E-02
     113      1     18      1     12      1       8     1.1689E+01  1.342E+03  2.608E-04  1.865E-02
     115      1     18      1     14      1       8     1.0453E+01  7.523E+02  1.894E-04  1.792E-02
     117      1     18      1     17      1       8     4.8232E-01  1.254E-01  4.987E-06  2.191E-02
     119      1     19      1      3      1       8     1.9902E+02  3.813E+05  8.804E-03  5.347E-02
     120      1     19      1      4      1       8     1.9882E+02  7.522E+05  1.728E-02  5.341E-02
     121      1     19      1      6      1       8     7.4170E+01  1.491E+05  6.993E-04  9.406E-02
     123      1     19      1      9      1       8     3.0912E+01  2.744E+04  8.223E-04  3.278E-02
     125      1     19      1     11      1       8     3.0248E+01  6.981E+02  2.676E-05  2.529E-02
     127      1     19      1     13      1       8     1.0975E+01  4.834E+03  1.118E-03  1.783E-02
     129      1     19      1     15      1       8     1.0654E+01  4.483E+02  1.172E-04  1.652E-02
     132      1     19      1     18      1       8     2.0831E-01  8.214E-03  1.113E-06  2.125E-02
     136      1     20      1      7      1       8     7.2924E+01  2.314E+05  2.249E-03  4.578E-02
     138      1     20      1     10      1       8     3.0556E+01  5.848E+04  2.747E-03  2.073E-02
     141      1     20      1     14      1       8     1.0940E+01  1.229E+04  2.872E-03  1.753E-02
     143      1     20      1     16      1       8     1.0872E+01  1.945E+02  5.333E-05  1.579E-02
     145      1     20      1     19      1       8     2.7887E-01  3.213E-03  1.000E-30  2.077E-02
     148      1     21      1     11      1       8     3.0535E+01  8.079E+04  3.205E-03  2.349E-02
     150      1     21      1     15      1       8     1.0940E+01  2.439E+04  6.672E-03  1.475E-02
     153      1     21      1     20      1       8     7.5365E-03  1.768E-08  1.000E-30  1.736E-02
     157      1     22      1     16      1       8     1.0881E+01  4.376E+04  1.443E-02  1.186E-02
     159      1     22      1     21      1       8     1.3214E-03  1.157E-11  1.000E-30  1.400E-02
     161      1     23      1      3      1       8     2.0517E+02  9.754E+03  1.845E-04  6.483E-02
     162      1     23      1      4      1       8     2.0497E+02  1.945E+04  3.616E-04  6.479E-02
     163      1     23      1      6      1       8     8.0323E+01  7.426E+03  2.753E-05  1.054E-01
     164      1     23      1      9      1       8     3.7065E+01  2.325E+03  3.531E-05  4.415E-02
     166      1     23      1     13      1       8     1.7128E+01  8.024E+02  4.493E-05  2.920E-02
     169      1     23      1     18      1       8     6.3616E+00  2.548E+02  6.440E-05  3.262E-02
     171      1     24      1      2      1       8     2.2123E+02  2.332E+05  3.485E-03  7.366E-02
     172      1     24      1      5      1       8     8.4862E+01  2.716E+04  2.269E-04  4.468E-02
     173      1     24      1      7      1       8     7.8963E+01  2.621E+03  1.730E-05  5.970E-02
     174      1     24      1      8      1       8     3.9016E+01  5.483E+03  9.131E-05  3.619E-02
     175      1     24      1     10      1       8     3.6595E+01  1.379E+03  2.635E-05  3.461E-02
     176      1     24      1     12      1       8     1.8215E+01  1.355E+03  6.010E-05  3.478E-02
     178      1     24      1     14      1       8     1.6979E+01  6.210E+02  3.506E-05  2.889E-02
     180      1     24      1     17      1       8     7.0085E+00  2.907E+02  5.711E-05  3.804E-02
     182      1     24      1     19      1       8     6.3179E+00  2.219E+02  5.835E-05  3.213E-02
     184      1     24      1     23      1       8     1.6457E-01  4.322E-03  7.654E-07  4.599E-02
     186      1     25      1      3      1       8     2.0544E+02  2.231E+05  4.271E-03  6.419E-02
     187      1     25      1      4      1       8     2.0523E+02  4.414E+05  8.371E-03  6.415E-02
     188      1     25      1      6      1       8     8.0584E+01  9.193E+04  3.404E-04  1.048E-01
     189      1     25      1      9      1       8     3.7326E+01  1.903E+04  2.883E-04  4.352E-02
     190      1     25      1     11      1       8     3.6662E+01  4.075E+02  7.275E-06  3.602E-02
     192      1     25      1     13      1       8     1.7389E+01  4.682E+03  2.581E-04  2.856E-02
     194      1     25      1     15      1       8     1.7068E+01  3.212E+02  1.906E-05  2.725E-02
     197      1     25      1     18      1       8     6.6220E+00  1.011E+03  2.369E-04  3.198E-02
     199      1     25      1     20      1       8     6.1349E+00  1.332E+02  4.202E-05  3.138E-02
     202      1     25      1     24      1       8     9.5840E-02  6.452E-04  1.408E-07  4.533E-02
     204      1     26      1      7      1       8     7.9363E+01  1.305E+05  8.813E-04  5.731E-02
     205      1     26      1     10      1       8     3.6995E+01  3.718E+04  7.436E-04  3.223E-02
     207      1     26      1     14      1       8     1.7379E+01  1.053E+04  6.054E-04  2.650E-02
     209      1     26      1     16      1       8     1.7311E+01  1.140E+02  7.269E-06  2.476E-02
     211      1     26      1     19      1       8     6.7178E+00  2.626E+03  6.331E-04  2.974E-02
     213      1     26      1     21      1       8     6.4314E+00  9.711E+01  3.207E-05  2.784E-02
     216      1     26      1     25      1       8     3.0410E-01  4.767E-03  7.251E-08  3.851E-02
     218      1     27      1     11      1       8     3.6971E+01  4.217E+04  8.176E-04  3.241E-02
     220      1     27      1     15      1       8     1.7377E+01  1.729E+04  1.137E-03  2.364E-02
     223      1     27      1     20      1       8     6.4438E+00  4.199E+03  1.261E-03  2.777E-02
     225      1     27      1     22      1       8     6.4350E+00  3.752E+01  1.632E-05  2.383E-02
     227      1     27      1     26      1       8     4.8600E-03  6.289E-09  1.000E-30  3.433E-02
     230      1     28      1     16      1       8     1.7317E+01  1.943E+04  1.510E-03  2.029E-02
     232      1     28      1     21      1       8     6.4372E+00  7.296E+03  2.623E-03  2.337E-02
     235      1     28      1     27      1       8     9.6000E-04  8.686E-12  1.000E-30  2.963E-02
     236      1     29      1      2      1       8     2.2538E+02  1.505E+05  1.992E-03  8.415E-02
     237      1     29      1      5      1       8     8.9018E+01  1.818E+04  1.118E-04  5.518E-02
     238      1     29      1      7      1       8     8.3119E+01  1.674E+03  8.055E-06  7.536E-02
     239      1     29      1      8      1       8     4.3172E+01  3.886E+03  3.812E-05  4.669E-02
     240      1     29      1     10      1       8     4.0751E+01  9.107E+02  9.306E-06  5.027E-02
     241      1     29      1     12      1       8     2.2372E+01  1.084E+03  2.196E-05  4.528E-02
     242      1     29      1     14      1       8     2.1136E+01  4.415E+02  9.934E-06  4.455E-02
     243      1     29      1     17      1       8     1.1165E+01  3.214E+02  1.705E-05  4.854E-02
     245      1     29      1     19      1       8     1.0474E+01  2.018E+02  1.258E-05  4.779E-02
     247      1     29      1     23      1       8     4.3209E+00  6.683E+01  1.685E-05  5.649E-02
     249      1     29      1     25      1       8     4.0605E+00  7.348E+01  2.175E-05  5.574E-02
     252      1     30      1      3      1       8     2.0959E+02  6.244E+03  9.576E-05  8.036E-02
     253      1     30      1      4      1       8     2.0939E+02  1.242E+04  1.872E-04  8.031E-02
     254      1     30      1      6      1       8     8.4742E+01  4.859E+03  1.444E-05  1.210E-01
     255      1     30      1      9      1       8     4.1484E+01  1.600E+03  1.401E-05  5.968E-02
     256      1     30      1     13      1       8     2.1547E+01  6.077E+02  1.331E-05  4.472E-02
     258      1     30      1     18      1       8     1.0780E+01  2.477E+02  1.425E-05  4.814E-02
     261      1     30      1     24      1       8     4.2541E+00  9.089E+01  2.348E-05  6.145E-02
     263      1     30      1     29      1       8     9.7810E-02  9.813E-04  1.959E-07  7.015E-02
     265      1     31      1      3      1       8     2.0968E+02  1.411E+05  2.191E-03  7.961E-02
     266      1     31      1      4      1       8     2.0947E+02  2.805E+05  4.289E-03  7.957E-02
     267      1     31      1      6      1       8     8.4824E+01  6.037E+04  1.805E-04  1.202E-01
     268      1     31      1      9      1       8     4.1566E+01  1.335E+04  1.180E-04  5.893E-02
     269      1     31      1     11      1       8     4.0902E+01  2.575E+02  2.501E-06  5.144E-02
     270      1     31      1     13      1       8     2.1629E+01  3.732E+03  8.282E-05  4.398E-02
     271      1     31      1     15      1       8     2.1308E+01  2.181E+02  5.106E-06  4.267E-02
     273      1     31      1     18      1       8     1.0862E+01  1.136E+03  6.532E-05  4.740E-02
     275      1     31      1     20      1       8     1.0375E+01  1.232E+02  8.602E-06  4.680E-02
     278      1     31      1     24      1       8     4.3360E+00  2.825E+02  7.089E-05  6.071E-02
     280      1     31      1     26      1       8     3.9361E+00  4.906E+01  1.691E-05  5.379E-02
     282      1     31      1     29      1       8     1.7973E-01  6.872E-03  4.013E-07  6.940E-02
     285      1     32      1      7      1       8     8.3517E+01  8.099E+04  4.012E-04  7.223E-02
     286      1     32      1     10      1       8     4.1149E+01  2.448E+04  2.608E-04  4.715E-02
     287      1     32      1     14      1       8     2.1534E+01  7.768E+03  1.822E-04  4.143E-02
     288      1     32      1     16      1       8     2.1466E+01  6.781E+01  1.702E-06  3.969E-02
     290      1     32      1     19      1       8     1.0872E+01  2.546E+03  1.550E-04  4.467E-02
     292      1     32      1     21      1       8     1.0586E+01  7.076E+01  5.300E-06  4.277E-02
     295      1     32      1     25      1       8     4.4586E+00  7.461E+02  1.846E-04  5.318E-02
     297      1     32      1     27      1       8     4.1496E+00  4.434E+01  1.519E-05  4.903E-02
     300      1     32      1     31      1       8     2.1835E-01  1.983E-03  5.534E-08  6.676E-02
     302      1     33      1     11      1       8     4.1124E+01  2.487E+04  2.657E-04  4.661E-02
     303      1     33      1     15      1       8     2.1530E+01  1.143E+04  2.963E-04  3.785E-02
     305      1     33      1     20      1       8     1.0597E+01  3.890E+03  2.843E-04  4.197E-02
     307      1     33      1     22      1       8     1.0588E+01  2.251E+01  2.084E-06  3.804E-02
     309      1     33      1     26      1       8     4.1578E+00  1.026E+03  3.296E-04  4.865E-02
     311      1     33      1     28      1       8     4.1519E+00  2.581E+01  1.068E-05  4.374E-02
     313      1     33      1     32      1       8     3.3000E-03  2.393E-09  1.000E-30  6.153E-02
     315      1     34      1     16      1       8     2.1470E+01  1.031E+04  3.031E-04  3.357E-02
     317      1     34      1     21      1       8     1.0590E+01  5.429E+03  4.677E-04  3.665E-02
     320      1     34      1     27      1       8     4.1536E+00  1.711E+03  6.309E-04  4.306E-02
     323      1     34      1     33      1       8     6.7000E-04  4.135E-12  1.000E-30  5.534E-02
     324      1     35      1      2      1       8     2.2829E+02  1.010E+05  1.084E-03  1.063E-01
     325      1     35      1      5      1       8     9.1926E+01  1.242E+04  5.141E-05  7.729E-02
     326      1     35      1      7      1       8     8.6026E+01  1.121E+03  3.988E-06  9.746E-02
     327      1     35      1      8      1       8     4.6080E+01  2.777E+03  1.583E-05  6.880E-02
     328      1     35      1     10      1       8     4.3659E+01  6.188E+02  3.754E-06  7.238E-02
     329      1     35      1     12      1       8     2.5279E+01  8.240E+02  8.686E-06  6.738E-02
     330      1     35      1     14      1       8     2.4043E+01  3.133E+02  3.621E-06  6.665E-02
     331      1     35      1     17      1       8     1.4072E+01  2.783E+02  6.354E-06  7.064E-02
     332      1     35      1     19      1       8     1.3382E+01  1.569E+02  4.054E-06  6.989E-02
     333      1     35      1     23      1       8     7.2283E+00  8.750E+01  5.656E-06  7.860E-02
     335      1     35      1     25      1       8     6.9679E+00  7.534E+01  5.352E-06  7.784E-02
     338      1     35      1     30      1       8     2.8096E+00  1.781E+01  5.754E-06  9.221E-02
     339      1     35      1     31      1       8     2.7277E+00  2.570E+01  8.980E-06  9.143E-02
     342      1     36      1      3      1       8     2.1248E+02  9.398E+04  1.168E-03  1.015E-01
     343      1     36      1      4      1       8     2.1228E+02  1.869E+05  2.285E-03  1.015E-01
     344      1     36      1      6      1       8     8.7628E+01  4.054E+04  1.004E-04  1.421E-01
     345      1     36      1      9      1       8     4.4371E+01  9.304E+03  5.205E-05  8.086E-02
     346      1     36      1     11      1       8     4.3707E+01  1.677E+02  9.877E-07  7.336E-02
     347      1     36      1     13      1       8     2.4434E+01  2.762E+03  3.176E-05  6.590E-02
     348      1     36      1     15      1       8     2.4112E+01  1.449E+02  1.729E-06  6.460E-02
     349      1     36      1     18      1       8     1.3667E+01  9.365E+02  2.321E-05  6.932E-02
     350      1     36      1     20      1       8     1.3180E+01  8.920E+01  2.530E-06  6.872E-02
     352      1     36      1     24      1       8     7.1406E+00  3.153E+02  2.148E-05  8.263E-02
     354      1     36      1     26      1       8     6.7407E+00  4.805E+01  3.909E-06  7.571E-02
     356      1     36      1     29      1       8     2.9843E+00  9.122E+01  2.576E-05  9.133E-02
     359      1     36      1     32      1       8     2.5862E+00  1.709E+01  7.171E-06  8.859E-02
     361      1     36      1     35      1       8     7.6880E-02  5.769E-04  1.107E-07  1.122E-01
     363      1     37      1      3      1       8     2.1253E+02  4.149E+03  5.091E-05  1.022E-01
     364      1     37      1      4      1       8     2.1233E+02  8.273E+03  9.977E-05  1.022E-01
     365      1     37      1      6      1       8     8.7681E+01  3.282E+03  8.040E-06  1.428E-01
     366      1     37      1      9      1       8     4.4424E+01  1.108E+03  6.102E-06  8.154E-02
     367      1     37      1     13      1       8     2.4486E+01  4.386E+02  4.943E-06  6.659E-02
     368      1     37      1     18      1       8     1.3720E+01  1.925E+02  4.660E-06  7.001E-02
     370      1     37      1     24      1       8     7.1935E+00  8.546E+01  5.655E-06  8.331E-02
     372      1     37      1     29      1       8     3.0372E+00  3.844E+01  1.033E-05  9.201E-02
     375      1     37      1     35      1       8     1.2981E-01  2.788E-03  2.178E-07  1.129E-01
     378      1     38      1      7      1       8     8.6367E+01  5.272E+04  1.943E-04  9.351E-02
     379      1     38      1     10      1       8     4.3999E+01  1.655E+04  1.041E-04  6.843E-02
     380      1     38      1     14      1       8     2.4383E+01  5.563E+03  6.610E-05  6.271E-02
     381      1     38      1     16      1       8     2.4315E+01  4.239E+01  5.273E-07  6.097E-02
     382      1     38      1     19      1       8     1.3722E+01  2.027E+03  5.242E-05  6.595E-02
     383      1     38      1     21      1       8     1.3435E+01  4.690E+01  1.403E-06  6.405E-02
     385      1     38      1     25      1       8     7.3080E+00  7.582E+02  5.067E-05  7.425E-02
     387      1     38      1     27      1       8     6.9990E+00  3.663E+01  3.005E-06  7.030E-02
     390      1     38      1     31      1       8     3.0677E+00  2.337E+02  6.448E-05  8.784E-02
     392      1     38      1     33      1       8     2.8461E+00  2.047E+01  7.546E-06  8.265E-02
     395      1     38      1     36      1       8     2.6320E-01  3.754E-03  6.493E-08  1.085E-01
     397      1     39      1     11      1       8     4.3972E+01  1.567E+04  1.006E-04  6.716E-02
     398      1     39      1     15      1       8     2.4378E+01  7.630E+03  9.742E-05  5.839E-02
     399      1     39      1     20      1       8     1.3445E+01  2.967E+03  8.919E-05  6.252E-02
     400      1     39      1     22      1       8     1.3436E+01  1.333E+01  4.739E-07  5.859E-02
     402      1     39      1     26      1       8     7.0062E+00  1.091E+03  8.769E-05  6.932E-02
     404      1     39      1     28      1       8     7.0004E+00  1.845E+01  1.753E-06  6.436E-02
     406      1     39      1     32      1       8     2.8517E+00  3.082E+02  1.082E-04  8.220E-02
