#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-200_1e18-1e21
#  Total number of transitions   =     4122
#  Number of written transitions =     1508
#  Plasma temperature (eV)       =     5.0000E+01
#  Mass density (g/cm3)          =     1.6758E-03
#  Cell areal density (g/cm2)    =     6.7031E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  3.517E+07  4.086E+01  1.678E-02
       2      1      4      1      2      1       8     1.6093E+01  5.222E+07  8.371E+01  1.681E-02
       5      1      5      1      3      1       8     1.2048E+02  1.104E+09  1.379E+01  6.599E-02
       6      1      5      1      4      1       8     1.2027E+02  1.592E+09  2.769E+01  6.597E-02
       7      1      6      1      2      1       8     1.4074E+02  6.519E+09  1.373E+02  1.343E-01
      10      1      6      1      5      1       8     4.3741E+00  1.861E+06  5.365E-01  1.546E-01
      12      1      7      1      3      1       8     1.2638E+02  5.358E+09  4.948E+02  5.235E-02
      13      1      7      1      4      1       8     1.2617E+02  8.198E+09  8.372E+02  6.550E-02
      15      1      7      1      6      1       8     1.5251E+00  4.338E+04  9.291E-02  1.218E-01
      17      1      8      1      3      1       8     1.6632E+02  7.106E+08  1.023E+00  1.729E-01
      18      1      8      1      4      1       8     1.6612E+02  1.083E+09  2.033E+00  1.729E-01
      20      1      8      1      6      1       8     4.1472E+01  3.422E+08  1.218E+00  2.602E-01
      22      1      9      1      2      1       8     1.8400E+02  3.845E+09  2.299E+01  1.873E-01
      25      1      9      1      5      1       8     4.7632E+01  6.646E+08  3.068E+00  2.074E-01
      27      1      9      1      7      1       8     4.1733E+01  1.825E+08  6.000E-01  1.903E-01
      28      1      9      1      8      1       8     1.7861E+00  1.035E+05  4.817E-02  3.031E-01
      30      1     10      1      3      1       8     1.6874E+02  3.887E+09  3.039E+01  1.488E-01
      31      1     10      1      4      1       8     1.6854E+02  5.557E+09  5.966E+01  1.514E-01
      33      1     10      1      6      1       8     4.3893E+01  1.354E+09  1.490E+01  2.323E-01
      36      1     10      1      9      1       8     6.3499E-01  2.820E+03  1.081E-02  2.750E-01
      41      1     11      1      7      1       8     4.2397E+01  2.175E+09  8.439E+01  1.448E-01
      43      1     11      1     10      1       8     2.8907E-02  2.244E-02  4.541E-05  2.230E-01
      45      1     12      1      3      1       8     1.8712E+02  4.011E+08  1.713E-01  3.925E-01
      46      1     12      1      4      1       8     1.8692E+02  7.073E+08  3.395E-01  3.925E-01
      48      1     12      1      6      1       8     6.2272E+01  2.609E+08  1.596E-01  4.798E-01
      51      1     12      1      9      1       8     1.9015E+01  5.590E+07  1.803E-01  5.223E-01
      53      1     13      1      2      1       8     2.0394E+02  3.213E+09  4.107E+00  3.948E-01
      56      1     13      1      5      1       8     6.7569E+01  6.936E+08  4.741E-01  4.148E-01
      58      1     13      1      7      1       8     6.1670E+01  1.076E+08  6.404E-02  4.213E-01
      59      1     13      1      8      1       8     2.1723E+01  9.949E+07  2.696E-01  5.106E-01
      61      1     13      1     10      1       8     1.9302E+01  3.959E+07  1.249E-01  4.903E-01
      63      1     13      1     12      1       8     9.2247E-01  1.251E+04  8.331E-03  7.252E-01
      65      1     14      1      3      1       8     1.8836E+02  3.244E+09  4.321E+00  3.583E-01
      66      1     14      1      4      1       8     1.8816E+02  4.736E+09  8.594E+00  3.583E-01
      68      1     14      1      6      1       8     6.3509E+01  1.550E+09  2.061E+00  4.456E-01
      71      1     14      1      9      1       8     2.0251E+01  2.435E+08  1.263E+00  4.881E-01
      73      1     14      1     11      1       8     1.9587E+01  1.604E+07  5.356E-02  4.283E-01
      75      1     14      1     13      1       8     3.1361E-01  3.038E+02  1.807E-03  6.908E-01
      80      1     15      1      7      1       8     6.1991E+01  1.933E+09  4.765E+00  3.345E-01
      82      1     15      1     10      1       8     1.9623E+01  3.749E+08  3.884E+00  4.035E-01
      85      1     15      1     14      1       8     7.4800E-03  4.327E-04  4.075E-06  6.039E-01
      91      1     16      1     11      1       8     1.9655E+01  6.339E+08  1.705E+01  3.088E-01
      93      1     16      1     15      1       8     6.0560E-02  9.275E-02  2.015E-05  4.846E-01
      95      1     17      1      3      1       8     1.9833E+02  1.889E+08  4.044E-02  7.931E-01
      96      1     17      1      4      1       8     1.9813E+02  3.630E+08  8.045E-02  7.930E-01
      97      1     17      1      6      1       8     7.3479E+01  1.368E+08  3.500E-02  8.803E-01
      99      1     17      1      9      1       8     3.0222E+01  3.893E+07  3.042E-02  9.229E-01
     102      1     17      1     13      1       8     1.0284E+01  9.973E+06  4.306E-02  1.126E+00
     104      1     18      1      2      1       8     2.1470E+02  2.505E+09  1.037E+00  7.999E-01
     107      1     18      1      5      1       8     7.8336E+01  4.476E+08  1.135E-01  8.200E-01
     108      1     18      1      7      1       8     7.2437E+01  5.048E+07  1.296E-02  8.264E-01
     109      1     18      1      8      1       8     3.2490E+01  8.294E+07  5.932E-02  9.158E-01
     111      1     18      1     10      1       8     3.0069E+01  2.430E+07  1.957E-02  8.955E-01
     113      1     18      1     12      1       8     1.1689E+01  1.474E+07  5.082E-02  1.130E+00
     115      1     18      1     14      1       8     1.0453E+01  8.372E+06  3.618E-02  1.096E+00
     117      1     18      1     17      1       8     4.8232E-01  1.442E+03  1.662E-03  1.528E+00
     119      1     19      1      3      1       8     1.9902E+02  2.480E+09  9.830E-01  7.501E-01
     120      1     19      1      4      1       8     1.9882E+02  3.797E+09  1.960E+00  7.500E-01
     121      1     19      1      6      1       8     7.4170E+01  1.224E+09  4.498E-01  8.373E-01
     123      1     19      1      9      1       8     3.0912E+01  2.567E+08  2.449E-01  8.799E-01
     125      1     19      1     11      1       8     3.0248E+01  7.935E+06  6.881E-03  8.200E-01
     127      1     19      1     13      1       8     1.0975E+01  4.623E+07  2.143E-01  1.083E+00
     129      1     19      1     15      1       8     1.0654E+01  5.019E+06  2.284E-02  9.956E-01
     132      1     19      1     18      1       8     2.0831E-01  9.395E+01  5.887E-04  1.485E+00
     136      1     20      1      7      1       8     7.2924E+01  1.597E+09  7.922E-01  6.981E-01
     138      1     20      1     10      1       8     3.0556E+01  4.413E+08  6.007E-01  7.672E-01
     141      1     20      1     14      1       8     1.0940E+01  9.234E+07  6.092E-01  9.701E-01
     143      1     20      1     16      1       8     1.0872E+01  2.191E+06  1.112E-02  8.508E-01
     145      1     20      1     19      1       8     2.7887E-01  3.659E+01  1.389E-04  1.359E+00
     148      1     21      1     11      1       8     3.0535E+01  5.124E+08  1.004E+00  6.382E-01
     150      1     21      1     15      1       8     1.0940E+01  1.356E+08  1.440E+00  8.138E-01
     153      1     21      1     20      1       8     7.5365E-03  2.007E-04  8.864E-07  1.176E+00
     157      1     22      1     16      1       8     1.0881E+01  1.714E+08  3.341E+00  6.334E-01
     159      1     22      1     21      1       8     1.3214E-03  1.300E-07  1.000E-30  9.590E-01
     161      1     23      1      3      1       8     2.0517E+02  6.945E+07  1.250E-02  1.456E+00
     162      1     23      1      4      1       8     2.0497E+02  1.369E+08  2.490E-02  1.456E+00
     163      1     23      1      6      1       8     8.0323E+01  5.299E+07  1.009E-02  1.543E+00
     164      1     23      1      9      1       8     3.7065E+01  1.662E+07  8.148E-03  1.586E+00
     166      1     23      1     13      1       8     1.7128E+01  5.732E+06  9.036E-03  1.789E+00
     169      1     23      1     18      1       8     6.3616E+00  1.812E+06  1.364E-02  2.191E+00
     171      1     24      1      2      1       8     2.2123E+02  1.238E+09  3.279E-01  1.477E+00
     172      1     24      1      5      1       8     8.4862E+01  1.800E+08  3.463E-02  1.497E+00
     173      1     24      1      7      1       8     7.8963E+01  1.788E+07  3.619E-03  1.498E+00
     174      1     24      1      8      1       8     3.9016E+01  3.692E+07  1.754E-02  1.592E+00
     175      1     24      1     10      1       8     3.6595E+01  9.399E+06  4.956E-03  1.567E+00
     176      1     24      1     12      1       8     1.8215E+01  9.160E+06  1.356E-02  1.807E+00
     178      1     24      1     14      1       8     1.6979E+01  4.223E+06  7.178E-03  1.767E+00
     180      1     24      1     17      1       8     7.0085E+00  1.966E+06  1.299E-02  2.205E+00
     182      1     24      1     19      1       8     6.3179E+00  1.502E+06  1.218E-02  2.157E+00
     184      1     24      1     23      1       8     1.6457E-01  2.960E+01  1.617E-04  2.866E+00
     186      1     25      1      3      1       8     2.0544E+02  1.188E+09  2.971E-01  1.407E+00
     187      1     25      1      4      1       8     2.0523E+02  1.995E+09  5.917E-01  1.407E+00
     188      1     25      1      6      1       8     8.0584E+01  5.514E+08  1.285E-01  1.494E+00
     189      1     25      1      9      1       8     3.7326E+01  1.201E+08  6.789E-02  1.537E+00
     190      1     25      1     11      1       8     3.6662E+01  2.736E+06  1.551E-03  1.477E+00
     192      1     25      1     13      1       8     1.7389E+01  2.997E+07  5.260E-02  1.739E+00
     194      1     25      1     15      1       8     1.7068E+01  2.152E+06  3.931E-03  1.652E+00
     197      1     25      1     18      1       8     6.6220E+00  6.483E+06  5.112E-02  2.142E+00
     199      1     25      1     20      1       8     6.1349E+00  8.884E+05  8.282E-03  2.016E+00
