#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_50-350eV_1e18-5e21_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     1974
#  Plasma temperature (eV)       =     1.0000E+02
#  Mass density (g/cm3)          =     8.3789E-05
#  Cell areal density (g/cm2)    =     2.5137E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  3.452E+05  1.643E-01  3.318E-03
       2      1      4      1      2      1       8     1.6093E+01  5.687E+05  4.008E-01  3.353E-03
       5      1      5      1      3      1       8     1.2048E+02  4.206E+06  6.471E-02  2.272E-02
       6      1      5      1      4      1       8     1.2027E+02  7.842E+06  1.257E-01  2.268E-02
       7      1      6      1      2      1       8     1.4074E+02  6.518E+07  2.269E-01  9.328E-02
      10      1      6      1      5      1       8     4.3741E+00  2.125E+03  5.538E-04  7.170E-02
      12      1      7      1      3      1       8     1.2638E+02  4.418E+07  1.703E+00  2.329E-02
      13      1      7      1      4      1       8     1.2617E+02  7.689E+07  2.087E+00  3.643E-02
      15      1      7      1      6      1       8     1.5251E+00  3.780E+01  3.232E-05  5.266E-02
      17      1      8      1      3      1       8     1.6632E+02  8.387E+05  9.086E-03  3.463E-02
      18      1      8      1      4      1       8     1.6612E+02  1.648E+06  1.748E-02  3.460E-02
      20      1      8      1      6      1       8     4.1472E+01  4.347E+05  3.909E-03  8.182E-02
      22      1      9      1      2      1       8     1.8400E+02  1.563E+07  1.152E-01  5.135E-02
      25      1      9      1      5      1       8     4.7632E+01  1.209E+06  2.336E-02  2.954E-02
      27      1      9      1      7      1       8     4.1733E+01  1.838E+05  5.322E-03  2.615E-02
      28      1      9      1      8      1       8     1.7861E+00  7.267E+01  3.333E-04  2.573E-02
      30      1     10      1      3      1       8     1.6874E+02  1.616E+07  2.245E-01  3.412E-02
      31      1     10      1      4      1       8     1.6854E+02  2.759E+07  3.980E-01  3.678E-02
      33      1     10      1      6      1       8     4.3893E+01  4.919E+06  4.374E-02  7.750E-02
      36      1     10      1      9      1       8     6.3499E-01  1.920E+00  9.164E-05  2.106E-02
      41      1     11      1      7      1       8     4.2397E+01  1.244E+07  4.389E-01  3.169E-02
      43      1     11      1     10      1       8     2.8907E-02  1.517E-05  1.000E-30  2.007E-02
      45      1     12      1      3      1       8     1.8712E+02  3.363E+05  2.677E-03  4.692E-02
      46      1     12      1      4      1       8     1.8692E+02  6.639E+05  5.136E-03  4.689E-02
      48      1     12      1      6      1       8     6.2272E+01  2.172E+05  8.423E-04  9.409E-02
      51      1     12      1      9      1       8     1.9015E+01  4.722E+04  2.127E-03  3.741E-02
      53      1     13      1      2      1       8     2.0394E+02  6.976E+06  5.122E-02  4.982E-02
      56      1     13      1      5      1       8     6.7569E+01  7.131E+05  7.769E-03  2.798E-02
      58      1     13      1      7      1       8     6.1670E+01  8.363E+04  6.618E-04  4.803E-02
      59      1     13      1      8      1       8     2.1723E+01  9.042E+04  4.109E-03  2.420E-02
      61      1     13      1     10      1       8     1.9302E+01  3.237E+04  1.825E-03  2.725E-02
      63      1     13      1     12      1       8     9.2247E-01  9.242E+00  9.353E-05  2.937E-02
      65      1     14      1      3      1       8     1.8836E+02  7.115E+06  6.268E-02  4.578E-02
      66      1     14      1      4      1       8     1.8816E+02  1.321E+07  1.207E-01  4.575E-02
      68      1     14      1      6      1       8     6.3509E+01  2.662E+06  1.015E-02  9.296E-02
