#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  ne_750-1300_4mm
#  Total number of transitions   =     4122
#  Number of written transitions =     2019
#  Plasma temperature (eV)       =     1.5000E+02
#  Mass density (g/cm3)          =     3.3515E-05
#  Cell areal density (g/cm2)    =     1.3406E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1       8     1.5889E+01  1.498E+05  4.212E-02  3.549E-03
       2      1      4      1      2      1       8     1.6093E+01  2.881E+05  9.909E-02  3.592E-03
       5      1      5      1      3      1       8     1.2048E+02  7.819E+05  2.179E-02  2.604E-02
       6      1      5      1      4      1       8     1.2027E+02  1.524E+06  4.304E-02  2.600E-02
       7      1      6      1      2      1       8     1.4074E+02  1.307E+07  8.016E-02  9.741E-02
      10      1      6      1      5      1       8     4.3741E+00  3.638E+02  1.485E-04  6.965E-02
      12      1      7      1      3      1       8     1.2638E+02  1.294E+07  5.621E-01  2.721E-02
      13      1      7      1      4      1       8     1.2617E+02  2.285E+07  7.387E-01  4.035E-02
      15      1      7      1      6      1       8     1.5251E+00  6.151E+00  5.795E-05  5.088E-02
      17      1      8      1      3      1       8     1.6632E+02  1.127E+05  3.187E-03  3.713E-02
      18      1      8      1      4      1       8     1.6612E+02  2.228E+05  6.230E-03  3.709E-02
      20      1      8      1      6      1       8     4.1472E+01  5.799E+04  7.853E-04  7.862E-02
      22      1      9      1      2      1       8     1.8400E+02  2.270E+06  3.926E-02  5.457E-02
      25      1      9      1      5      1       8     4.7632E+01  1.644E+05  5.088E-03  2.658E-02
      27      1      9      1      7      1       8     4.1733E+01  2.446E+04  1.064E-03  2.333E-02
      28      1      9      1      8      1       8     1.7861E+00  9.606E+00  8.094E-05  1.841E-02
      30      1     10      1      3      1       8     1.6874E+02  2.476E+06  7.739E-02  3.734E-02
      31      1     10      1      4      1       8     1.6854E+02  4.555E+06  1.404E-01  3.998E-02
      33      1     10      1      6      1       8     4.3893E+01  6.740E+05  8.731E-03  7.502E-02
      36      1     10      1      9      1       8     6.3499E-01  2.506E-01  4.520E-05  1.433E-02
