#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_750-1300_4mm
#  Total number of transitions   =     1380
#  Number of written transitions =      624
#  Plasma temperature (eV)       =     1.5000E+02
#  Mass density (g/cm3)          =     1.0902E-02
#  Cell areal density (g/cm2)    =     4.3607E-03
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  6.676E+09  6.152E-07  1.118E-02
       2      1      4      1      2      1      52     4.9234E+02  1.597E+11  1.122E+01  4.205E-02
       4      1      6      1      5      1      52     1.0651E+02  2.483E+10  1.582E-02  7.872E+01
       6      1      7      1      6      1      52     6.8034E+01  3.323E+09  2.207E-03  9.467E+01
       7      1      9      1      8      1      52     3.8672E+01  1.376E+09  5.276E-02  2.874E+01
       9      1     10      1      9      1      52     3.4641E+01  9.333E+08  1.444E-02  3.136E+01
      11      1     11      1     10      1      52     9.4480E+00  3.288E+06  5.452E-03  8.541E+00
      13      1     12      1      9      1      52     8.3242E+02  5.483E+13  1.000E-30  4.478E+01
      14      1     13      1      8      1      52     8.9349E+02  3.681E+13  1.327E-01  2.729E+01
      16      1     13      1     10      1      52     8.2018E+02  1.451E+13  1.000E-30  1.549E+01
      17      1     13      1     12      1      52     2.2396E+01  3.543E+08  1.334E-01  1.661E+01
      19      1     14      1      9      1      52     8.6975E+02  8.418E+13  7.444E-02  3.754E+01
      21      1     14      1     11      1      52     8.2566E+02  3.461E+12  1.000E-30  2.969E+00
      23      1     14      1     13      1      52     1.4925E+01  8.605E+07  2.620E-02  2.026E+01
      25      1     15      1     10      1      52     8.3968E+02  1.186E+14  2.449E-01  1.287E+01
      28      1     15      1     14      1      52     4.5752E+00  6.365E+05  1.828E-02  4.423E+00
      30      1     16      1     11      1      52     8.3260E+02  1.439E+14  6.356E-01  5.920E+00
      32      1     16      1     15      1      52     2.3647E+00  2.685E+04  9.795E-03  1.780E+00
      34      1     17      1      9      1      52     1.3019E+03  4.602E+13  1.000E-30  4.472E+01
      36      1     17      1     13      1      52     4.4709E+02  1.166E+13  1.000E-30  2.770E+01
      38      1     18      1      8      1      52     1.3534E+03  3.788E+13  6.176E-02  1.596E+01
      40      1     18      1     10      1      52     1.2800E+03  1.124E+13  1.000E-30  8.644E+00
      41      1     18      1     12      1      52     4.8226E+02  5.636E+12  2.509E-01  1.585E+01
      43      1     18      1     14      1      52     4.4493E+02  3.894E+12  1.000E-30  9.562E+00
      45      1     18      1     17      1      52     1.2770E+01  6.838E+07  2.812E-01  9.498E+00
      47      1     19      1      9      1      52     1.3234E+03  8.153E+13  1.760E-02  4.050E+01
      49      1     19      1     11      1      52     1.2793E+03  2.288E+12  1.000E-30  4.103E+00
      51      1     19      1     13      1      52     4.6860E+02  1.248E+13  1.191E-01  2.347E+01
      53      1     19      1     15      1      52     4.4910E+02  1.422E+12  1.000E-30  1.846E+00
      56      1     19      1     18      1      52     8.7378E+00  2.143E+07  5.825E-02  1.180E+01
      58      1     20      1     10      1      52     1.2912E+03  1.132E+14  4.570E-02  1.454E+01
      61      1     20      1     14      1      52     4.5609E+02  1.498E+13  4.623E-01  6.412E+00
      63      1     20      1     16      1      52     4.4915E+02  4.004E+11  1.000E-30  7.700E-01
      65      1     20      1     19      1      52     2.4178E+00  1.177E+05  3.967E-02  2.627E+00
      67      1     21      1     11      1      52     1.2829E+03  1.148E+14  7.298E-02  6.964E+00
      69      1     21      1     15      1      52     4.5271E+02  1.529E+13  1.122E+00  2.952E+00
      72      1     21      1     20      1      52     1.2002E+00  5.796E+03  2.667E-02  1.104E+00
      75      1     22      1     16      1      52     4.5135E+02  1.455E+13  2.268E+00  1.690E+00
      77      1     22      1     21      1      52     1.0028E+00  1.544E+03  1.736E-02  5.927E-01
